product_name,food_groups_en,nova_group,nutriscore_grade,nutriscore_score,ecoscore_grade,ecoscore_score,ingredients_text
Filets de Daurade grise,"Fish‚ Meat‚ Eggs,Fish and seafood,Lean fish",1,a,-6,f,10.0,100% Dorade grise
Pâté de Campagne Breton à la Fleur de Sel,"Salty snacks,Salty and fatty products",3,e,19,e,24.0,"85 % de Porc (Poitrine, Gorge, foie), Oignons, Fleur de Sel, Epices."
Masse de Cacao 100%,"Sugary snacks,Chocolate products",3,d,17,e,19.0,100% masse de cacao.
Jus d'Orange Pure Premium sans pulpe,"Beverages,Unsweetened beverages",1,c,5,c,48.0,100% pur jus d'orange
Bouchons Fines Herbes et Curry Mexicain,"Milk and dairy products,Cheese",4,d,14,d,37.0,"95,5 % fromage de chèvre au LAIT cru origine France, Salapempa 1,5 % (poivron, sel, graines de MOUTARDE, paprika, échalote, ail, poivre), ail et fines herbes 1,5 % (ail, sel, ciboulette, persil, poivre), curry 1,5 % (curcuma, dextrose, sel, coriandre, fenugrec, cumin, cannelle)."
Fromage fort,"Milk and dairy products,Cheese",3,d,16,f,13.0,"85 % fromage de chèvre (_lait cru_, _ferments lactiques_, sel), vin Mâcon blanc 8 % (SULFITES), Comté AOC 4%, _beurre_ 3%"
Cervelle Canut Richard,"Milk and dairy products,Cheese",3,d,12,f,14.0,"98% fromage de chèvre battu (_lait_ cru origine France, présure, ferments lactiques, sel), persil, ail, échalotte, huile et vinaigre (_sulfites_)"
Pur jus de Pomme du Lot-et-Garonne Bio Equitable,"Beverages,Unsweetened beverages",1,c,6,b,66.0,100% Jus de pomme issu de l'agriculture biologique et issu du commerce équitable
2 steaks hachés pur bœuf façon bouchère 15% MG,"Fish‚ Meat‚ Eggs,Meat,Meat other than poultry",1,c,7,f,4.0,100% viande bovine
6 steaks haché pur bœuf,"Fish‚ Meat‚ Eggs,Meat,Meat other than poultry",1,b,2,f,5.0,"100% VIANDE DE BOEUF, RAPPORT COLLAGENE SUR INFERIEUR A 12%"
Steaks hachés pur boeuf 15% mg,"Fish‚ Meat‚ Eggs,Meat,Meat other than poultry",1,c,5,f,9.0,100% viande bovine.
Pur Jus Artisanal De Pomme,"Beverages,Unsweetened beverages",1,d,8,a,75.0,100% jus de pomme biologique
La Purée artisanale de poire,"Fruits and vegetables,Fruits",1,a,-2,a-plus,109.0,100% poire biologique
Pur Jus de pomme,"Beverages,Unsweetened beverages",1,c,6,c,50.0,100% Jus de Pomme issue de l'Agriculture Biologique
Jus De Pomme Pétillant,"Beverages,Unsweetened beverages",1,c,6,c,50.0,"99.9% Jus de Pomme, 0.1% gaz carbonique"
Terrine de canard bio,"Fish‚ Meat‚ Eggs,Processed meat",3,e,20,c,57.0,"35% viande et foie de canard* (origine France), % viande de porc* (origine France), 16% gras de porc* (origine France), foie de volailles* (origine France), oeuf*, échalote*, porto* (contient des sulfites), lait*, crème*, sel de Camargue, poivre*, muscade*"
Jus de Pomme,"Beverages,Unsweetened beverages",1,c,5,a,87.0,100% jus de pomme.
Farine de chataigne,,1,d,11,c,50.0,100% farine de châtaigne origine France.
Farine de chataigne,,1,c,6,e,26.0,100% Châtaigne
Le steak haché 100% boeuf,"Fish‚ Meat‚ Eggs,Meat,Meat other than poultry",1,d,11,f,5.0,100% Pure Viande Bovine
Haché 100 % Boeuf,"Fish‚ Meat‚ Eggs,Meat,Meat other than poultry",1,d,11,f,-15.0,100% pur boeuf
Hot Dog Déliss' Cheese & Pain moelleux,"Composite foods,Sandwiches",4,d,15,f,13.0,"1 Pain moelleux spécial Hot Dog 51,4% (farine de froment, eau, sucre, huiles végétales (colza et palme), sel, levure, émulsifiants : E471 - E472e, conservateur : E282, agent de traitement de la farine : E300). 1 Délicieuse Déliss' Original 37,8% (Préparation cuite féculée à base de viande séparée mécaniquement de dinde halal et de viande de dinde halal : viande séparée mécaniquement de dinde halal (21,8%), eau, viande de dinde halal (6,8%), fécule de pomme de terre, protéines de soja, dextrose, saccharose, sel, fibres de pois, exhausteur de goût (E621), conservateurs (E250, E262), arômes, stabilisants (E450, E452, E451), plantes aromatiques, acidifiant (E575), antioxydants (E316, E331), gélifiant (E407), arômes de fumée, colorant (E160c), sirop de glucose, extrait d'épices.)  1 Tranche d'Emmental 11,1% (lait de vache, sel, ferments lactiques, coagulant)."
Croq'mie - Délice de dinde & fromage,"Composite foods,Sandwiches",4,d,14,d,38.0,"2 tranches de pain de mie moelleux 62,2 % (farine de _blé_, eau, sel, dextrose, levure, huile de colza, conservateur : E282, gluten de _blé_, agent de traitement de la farine : E300). 1 tranche de délice de dinde 20 % (cuisses de dinde traitées en salaison, féculées , cuit standard : cuisse de dinde halal (68,7 %), eau, fécule de pomme de terre, sirop de glucose, sel, stabilisants (E450, E451), protéines de _soja_, antioxydants (E316, E331), conservateurs (E262, E250), extrait d'épices, arômes naturels.) 1 tranche d'emmental 11,1 % (_lait_ de vache, sel, ferments lactiques, coagulant). un peu de matière grasse de pour le côté doré (huile végétale de colza, eau, sel, émulsifiant (E471), correcteur d'acidité (E330), agent conservateur (E202), arôme, colorant E160a(i))."
Semoule Ble dur,"Cereals and potatoes,Cereals",1,e,24,b,66.0,100 % semoule de blé dur
Myrtilles surgelées,"Fruits and vegetables,Fruits",1,a,-3,b,69.0,100% myrtilles.
Coulis de framboise,"Fats and sauces,Dressings and sauces",3,c,7,c,51.0,"75% de purée de framboises, sucre de canne."
Nectar de Mirabelle,"Beverages,Unsweetened beverages",1,e,14,d,36.0,"40 % d'eau, 60 % de Mirabelles de Lorraine, acide citrique. Teneur totale en sucre 8 %."
6 Œufs de Poules Élevées en Plein Air,"Fish‚ Meat‚ Eggs,Eggs",1,a,-1,b,69.0,6 _œufs_
Le quebecois pur sirop d'erable,,2,e,19,a,77.0,100% pur Sirop d'Erable
Pur Sirop d'Erable,,2,d,11,a-plus,97.0,100% pur Sirop d’Érable BIO
Sirop d'érable,,2,e,19,a,77.0,100% pur sirop d'érable
Pur sirop d'érable,,2,e,19,a,84.0,100% sirop d érable
Graines de chia,"Cereals and potatoes,Cereals",1,a,-11,c,46.0,100 % graines de chia issues de l'agriculture biologique.
SUCRE DE CANNE ROUX,"Sugary snacks,Sweets",2,d,15,a,79.0,100% sucre de canne roux
Sucre de fleur de coco,"Sugary snacks,Sweets",2,e,20,a-plus,96.0,100% sucre de coco.
Pur jus de citron,"Beverages,Unsweetened beverages",1,b,-3,c,52.0,100 % jus de citron biologique
Pur jus de citron,"Beverages,Unsweetened beverages",1,b,-3,e,21.0,100% pur jus de citron biologique.
Sirop d’agave,"Sugary snacks,Sweets",2,d,18,c,48.0,100% pur sirop d'agave  issus de l'agriculture biologique
Sirop d’agave,,1,d,18,c,48.0,100% pur sirop d'agave issus de l'agriculture biologique
pavé saumon,"Fish‚ Meat‚ Eggs,Fish and seafood,Fatty fish",1,a,-3,d,44.0,"100% Saumon Atlantique (poisson) (Salmo salar), qualité sans arëte&quot;, élevë en Norvège."
Junatur,"Beverages,Unsweetened beverages",1,c,5,a,83.0,100% pomme
Mont d’Or,"Milk and dairy products,Cheese",3,d,12,c,59.0,"7 Ingrédient : LAIT cru français, sel, ferments lactiques, ferments d'affinage, présure. NO DE LOT'. 261 Valeur nutritionnelles pour 1000 . nnmvtnnt.tnn"
Brie,"Milk and dairy products,Cheese",3,d,12,d,35.0,100% farine de sarrasin (dite blé noir)
Filets de poulet,"Fish‚ Meat‚ Eggs,Meat,Poultry",1,a,-6,d,39.0,100 % POULET
Aiguillettes de poulet,"Fish‚ Meat‚ Eggs,Meat,Poultry",1,a,-6,c,46.0,100% poulet.
Filets de poulet Halal,"Fish‚ Meat‚ Eggs,Meat,Poultry",1,a,-6,c,50.0,100% POULET
Filets de poulet jaune,"Fish‚ Meat‚ Eggs,Meat,Poultry",1,a,-6,d,39.0,100 % Poulet
Filets de poulet,"Fish‚ Meat‚ Eggs,Meat,Poultry",1,a,-6,c,46.0,100% poulet
Filet de poulet jaune,"Fish‚ Meat‚ Eggs,Meat,Poultry",1,a,-6,c,50.0,100% POULET
Haut de cuisse de poulet,"Fish‚ Meat‚ Eggs,Meat,Poultry",1,a,-2,e,19.0,100% POULET
Pilons de poulet halal,"Fish‚ Meat‚ Eggs,Meat,Poultry",1,a,-3,e,19.0,100% POULET
Escalopes de dinde x 6,"Fish‚ Meat‚ Eggs,Meat,Poultry",1,a,-6,d,39.0,100% DINDE
,"Sugary snacks,Biscuits and cakes",4,e,34,e,23.0,"41% suiker, cacaoboter, magere melkpoeder,$ cocaomassa, _lactose_, emulgator: notuurlijk vanille aroma , _tarwemeel_, suiker, melkkaramet (llgco;e, en fructosestroop, suiker, gezoete gecondenseerde melk PO melkproteïne zou) 20,500, water), geconcentreerdedboter moutgerstextracten, rijsmiddej.r natriutr? Q 40 .KARAMELL"
Jus de pomme Reinette non filtré,"Beverages,Unsweetened beverages",1,c,6,c,50.0,100% pomme
Pur jus de pomme,"Beverages,Unsweetened beverages",1,c,6,c,50.0,100% pommes
Compote de pommes BIO d'Alsacs,"Fruits and vegetables,Fruits",1,a,-2,a-plus,111.0,100% pommes issues de l'agriculture biologique Origine France - Récoltées en Alsace Poids net total 550g
Café,,1,b,0,f,1.0,100% Café Arabica
Peaunut butter smooth,"Cereals and potatoes,Legumes",4,c,3,c,45.0,"91% _arachides_ grillées, sucre, huile de tournesol, huile de colza totalement hydrogénée, sel"
Huile d olive,"Fats and sauces,Fats",2,b,0,c,51.0,100% huile d'olives
Jus de pomme qui pétille 100% pur jus,"Beverages,Unsweetened beverages",1,c,5,c,50.0,100% pur jus de pomme
Thé vert infusé glacé aloé vera,"Beverages,Sweetened beverages",4,c,4,b,63.0,"95% d'eau de source, sucre liquide*, 1,8% dlinfusion de thé vert* (eau, infusion intense de thé vert), arôme naturel de thé, acidifiant : acide citrique, arôme naturel, arôme naturel dialoé vera, antioxydant : acide ascorbique. produits issus de liagriculture biologique Une infusion de thé vert bio, la douceur de l'aloé vera, pour une délicieuse boisson désaltérante tout ; au long de la journée."
Thé vert infusé glacé,"Beverages,Sweetened beverages",4,c,4,b,68.0,"93% d'eau de source, sucre liquide*, 2% de jus de grenade à base de concentré*, 1,8% d'infusion de thé vert* (eau, infusion intense de thé vert), arôme naturel de thé, acidifiant : acide citrique, arôme naturel, antioxydant : acide ascorbique.  * produits issus de l'agriculture biologique."
"Tablette de chocolat noir fourré caramel liquide au beurre salé, à la fleur de sel","Sugary snacks,Chocolate products",4,e,27,e,29.0,"70 % de chocolat noir (pâte de cacao, sucre, beurre de cacao, émulsifiant : lécithine de _soja_, arôme vanille), 30 % de fourrage caramel liquide au beurre et salé à la fleur de sel (sucre, sirop de glucose, _lait_ concentré, _lait_ concentré sucré, _beurre_ 2,5 %, sirop de sucre inverti, stabilisant : sorbitol, dextrose, fleur de sel 0,07 %, sel 0,07 %, arôme vanille (contient de l'_amande_), émulsifiant : lécithine de _soja_)."
Tablette Chocolat au Lait Fourré Caramel au Beurre Salé à la Fleur de Sel,"Sugary snacks,Chocolate products",4,e,31,e,21.0,"70 % de chocolat lait (sucre, poudre de _lait_ entier, beurre de cacao, pâte de cacao, émulsifiant : lécithine de _soja_, arôme vanille), 30 % de fourrage caramel liquide au beurre et salé à la fleur de sel (sucre, sirop de glucose, _lait_ concentré, _lait_ concentré sucré, _beurre_ 2,5 %, sirop de sucre inverti, stabilisant : sorbitol, dextrose, fleur de sel 0,07 %, sel 0,07 %, arôme vanille (contient de l'_amande_), émulsifiant : lécithine de _soja_)."
Chataignes entières,"Salty snacks,Nuts",1,a,0,a,80.0,100% Châtaignes*. * Issues de l'agriculture biologique.
Châtaignes entières,"Salty snacks,Nuts",1,a,-3,d,34.0,100% Châtaignes. •
Marrons Cuits,"Salty snacks,Nuts",1,c,3,c,54.0,"100 % marrons UE (Italie, Portugal, Espagne ou France)."
Châtaignes Cuites,"Salty snacks,Nuts",1,a,0,d,34.0,100% marrons
Châtaignes cuites,"Salty snacks,Nuts",1,c,3,d,34.0,100 % Marrons UE
Marrons cuits,"Salty snacks,Nuts",1,c,3,a,75.0,"100% Châtaignes* (Italie, Portugal, Espagne, France). *Produit issu de l'agriculture biologique."
Marrons bio cuits,"Salty snacks,Nuts",1,b,2,b,64.0,"100% Marrons* UE (Italie, Portugal, Espagne ou France). * Produit issu de l'agriculture biologique."
Confiture de Physalis - Fabrication Artisanale,"Sugary snacks,Sweets",3,d,17,a,80.0,"65% physalis&quot;, 35% sucre blond équitable* * Ingrédients issus de l'agriculture biologique."
Coles de Bruselas,"Fruits and vegetables,Vegetables",1,a,-8,a,81.0,100% Coles de bruselas
3 / 2 Taboule Carrefour Discount.,"Composite foods,One-dish meals",4,c,3,a,75.0,"1 boite  de garniture: tomates fraiches (51%), eau, oignons frais, huile d'olive vierge extra, huile de colza, sel, persil, concentré de tomate, jus concentré de citron, menthe, épaississants: farine de graines de caroube et gomme guar, arômes. 1 coupelle de semoule de blé dur précuite à la vapeur."
"Basilic, boite refermable",,1,a,-8,a-plus,109.0,100% Basilic.
Persil,,1,a,-7,a,84.0,100% persil.
Pur Arabica,"Beverages,Unsweetened beverages",1,b,-2,f,-8.0,100% arabica.
Purée de pommes de terre,"Cereals and potatoes,Potatoes",3,a,0,a-plus,104.0,100 % pommes de terre biologiques.
Le Charolais 4 steaks hachés Façon Bouchère,"Fish‚ Meat‚ Eggs,Meat,Meat other than poultry",1,c,7,f,8.0,100% viande bovine race Charolaise origine France.
100% pur fruit pressé -  jus de pomme bio,"Beverages,Unsweetened beverages",1,c,6,a,81.0,100% jus de pomme bio
12 bavettes d'aloyau***,"Fish‚ Meat‚ Eggs,Meat,Meat other than poultry",1,c,5,f,-15.0,100% viande bovine.
Dosettes de café Equilibré,"Beverages,Unsweetened beverages",1,b,-2,f,-20.0,100% café moulu Arabica
Intenso,"Beverages,Unsweetened beverages",1,b,-2,f,-20.0,100% café moulu.
Pur jus de citron,"Beverages,Unsweetened beverages",1,b,-3,b,62.0,100% jus de citron issu de l'agriculture biologique
Pur Sirop d'Erable,,2,d,18,b,71.0,"100% maple syrup, origin: canada,"
Coriandre,,1,a,-9,a,82.0,100% coriandre.
Oat flakes,"Cereals and potatoes,Breakfast cereals",1,a,-5,a,77.0,"100% wholegrain oat flakes,"
Café moulu doux,"Beverages,Unsweetened beverages",1,b,-2,f,5.0,100% arabica
Dolce,"Beverages,Unsweetened beverages",1,b,0,f,-15.0,100% café moulu.
Taboulé aux tomates fraîches.,"Composite foods,One-dish meals",4,b,2,a-plus,109.0,"1 boite de garniture : tomates fraîches* 43%, eau, oignons frais* 6%, huile d'olive vierge 3.4%, poivrons rouges*, concentré de tomates*, sel, persil*, jus de citron concentré*, menthe déshydratée*, arôme naturel de menthe, poivre blanc moulu*. 1 sachet de semoule de _blé_* dur précuite 24.7%. * Biologique Pourcentages exprimés sur le produit total."
Decafeinato,"Beverages,Unsweetened beverages",1,b,0,f,-16.0,100% café décaféiné moulu.
Expresso Doux,"Beverages,Unsweetened beverages",1,b,0,f,-20.0,100 % café moulu Arabica.
Steaks hachés façon bouchère,"Fish‚ Meat‚ Eggs,Meat,Meat other than poultry",1,c,5,f,8.0,100% viande bovine origine France.
Lungo Corsé,"Beverages,Unsweetened beverages",1,b,-2,f,-20.0,100 % café moulu Arabica.
100% arabica café moulu,"Beverages,Unsweetened beverages",1,b,-2,f,-16.0,100% café moulu Arabica.
Pomme Banane Sans sucres ajoutés*,"Fruits and vegetables,Fruits",1,a,-2,a-plus,95.0,"3 Purées de pommes* : Purée de pommes bio 99,9%, antioxydant : acide ascorbique.  3 Purées de pommes poires* : Purée de pommes bio 69,9 %, purée de poires bio 30%, antioxydant : acide ascorbique.  3 Purées de pommes fraises* : Purée de pommes bio 79,9%, fraises bio 20%, antioxydant : acide ascorbique.  3 Purées de pommes bananes* : Purée de pommes bio 77,9%, purée de bananes bio 22%, antioxydant : acide ascorbique, acidifiant : acide citrique. * Issues de l'agriculture biologique."
Flocons d'avoine,"Cereals and potatoes,Breakfast cereals",1,a,-4,b,71.0,100% flocons d'_avoine_ complets. Peut contenir des traces d'autres céréales contenant du gluten.
Robusta Moulu,"Beverages,Unsweetened beverages",1,b,0,f,-20.0,100% café moulu.
Pomme-pêche & Pomme-abricot,"Fruits and vegetables,Fruits",1,a,-2,a-plus,110.0,"4 Purées de pommes pêches : purée de pommes* (pommes origine France) 74,9%, purée de pêches* (pêches origine UE) 25%, antioxydant : acide ascorbique.4 Purées de pomme abricot : purée de pommes* (pommes origine France) 74,9%, purée d'abricots* (abricots origine UE) 25%, antioxydant : acide ascorbique. * issu de l'agriculture biologique"
100% PUR JUS ORANGE Sans pulpe,"Beverages,Unsweetened beverages",1,c,5,b,63.0,"100% pur fruit pressé, vitamine C"
Laos,"Beverages,Unsweetened beverages",1,b,-2,f,-20.0,100 % café moulu Arabica du Laos.
Nicaragua,"Beverages,Unsweetened beverages",1,b,-2,f,-17.0,100 % café moulu Arabica du Nicaragua.
Salvador,"Beverages,Unsweetened beverages",1,b,-2,f,-16.0,100 % café moulu Arabica de Salvador.
Persil BIO,,1,a,-7,a-plus,96.0,100% Persil bio.
Basilic BIO,,1,a,-8,a-plus,111.0,100% Basilic bio.
Aneth,,1,a,-6,a,88.0,100% Aneth.
Pur jus de citron,"Beverages,Unsweetened beverages",1,b,-3,d,44.0,100% jus de citron issu de l'agriculture biologique
Café Guatemala - intensité n°7,"Beverages,Unsweetened beverages",1,b,-2,e,19.0,100 % café moulu Arabica biologique
Intenso,"Beverages,Unsweetened beverages",1,b,0,f,-20.0,100% café moulu.
6 GROS œufs Coques Extra Frais Carrefour BIO,"Fish‚ Meat‚ Eggs,Eggs",1,a,-1,a,76.0,6 œufs biologiques de poules élevées en plein air
Huile Vierge de sésame grillé,"Cereals and potatoes,Cereals",2,c,6,a,84.0,100% huile vierge de _sésame_ biologique. Peut contenir des traces de fruits à coque.
Huile vierge de Noix,"Fats and sauces,Fats",2,b,2,d,31.0,100% huile vierge de _noix_ biologique. Peut contenir des traces de graines de sésame et d'autres fruits à coque.
Sucre en Poudre,"Sugary snacks,Sweets",2,e,20,a-plus,90.0,100% sucre
Purée de Sésame Tahin,"Cereals and potatoes,Cereals",1,d,12,c,52.0,"100% _graines de sésame_ décortiquées et grillées, issues de l'agriculture biologique. Peut contenir des traces d'arachides."
Sucre fleurs de coco,"Sugary snacks,Sweets",2,e,20,a-plus,96.0,100% sucre de fleurs de coco biologique
Espresso Savoroso,"Beverages,Unsweetened beverages",1,b,-2,f,-20.0,100 % café moulu Arabica
Espresso Profondo,"Beverages,Unsweetened beverages",1,b,-2,f,-20.0,100 % café moulu
Espresso Forte,"Beverages,Unsweetened beverages",1,b,-2,f,-15.0,100 % café moulu
Lungo Forte,"Beverages,Unsweetened beverages",1,b,-2,f,-20.0,100 % café moulu Arabica
Lungo Voluptuo,"Beverages,Unsweetened beverages",1,b,0,f,-20.0,100 % café moulu Arabica
Espresso Colombie,,1,b,0,f,4.0,100% café moulu arabica de Colombie.
Ristretto,"Beverages,Unsweetened beverages",1,b,-2,f,-20.0,100 % café moulu Arabica
Ristretto Ultimo,"Beverages,Unsweetened beverages",1,b,-2,f,-20.0,100 % café moulu Arabica
Espresso Forte,"Beverages,Unsweetened beverages",1,b,-2,f,-20.0,100 % café moulu
Déca capsules,"Beverages,Unsweetened beverages",1,b,0,f,-16.0,100 % café décaféiné moulu
Lungo Capsules,"Beverages,Unsweetened beverages",1,b,-2,f,-20.0,100 % café moulu
Dolce,"Beverages,Unsweetened beverages",1,b,0,f,-20.0,100% café moulu.
Dolce,"Beverages,Unsweetened beverages",1,b,-2,f,-20.0,100% café moulu.
Dosettes Classic,"Beverages,Unsweetened beverages",1,b,-2,f,-15.0,100% café moulu.
Dosettes Dolce,"Beverages,Unsweetened beverages",1,b,-2,f,-15.0,100% café moulu arabica.
Dosettes forte,"Beverages,Unsweetened beverages",1,b,-2,f,-15.0,100% café moulu.
Flocons d'avoine complete,"Cereals and potatoes,Breakfast cereals",1,a,-4,b,68.0,100% flocons d'_avoine_ complète. Peut contenir des traces de moutarde et de lupin.
Ciao le sucre ! Maïs,"Sugary snacks,Sweets",2,a,0,a-plus,110.0,100% érythritol* (origine Chine). *Produit issu de l'agriculture biologique. Une consommation excessive peut avoir des effets laxatifs.
Les florentins Chocolat au lait - écorces d'orange,"Sugary snacks,Biscuits and cakes",4,e,30,c,50.0,"45% de chocolat au lait à 41% de cacao minimum (sucre, masse de cacao, poudre de lait entier, beurre de cacao, émulsifiant: lécithine de soja, arôme naturel vanille), sucre, amandes efflées crème fraîche, sirop de glucose, poudre d'amande, beurre demi-sel, miel, fruits confits, annede blé, écorces d'oranges (1,2%)"
Florentins Chocolat Au Lait - Orange,"Sugary snacks,Biscuits and cakes",4,e,30,c,50.0,"45% de chocolat au lait à 41 % de cacao minimum (sucre, masse de cacao, poudre de lait entier, beurre de cacao, émulsifiant: lécithine de soja, arôme vanille naturelle), sucre, amandes effilées, crème fraîche fait), sirop de g!ucose, ppudre d'amande, beurre (lait) rhnrnlate_with 41 % cocoa (sugar, cocoa mass, whole"
Florentins Chocolat Noir - Orange,"Sugary snacks,Biscuits and cakes",4,e,27,c,50.0,"45% chocolat noir à 70% de cacao minimum (masse de cacao, sucre, beurre de cacao, émulsifiant : lécithine de so a, arôme vanille naturelle) sucre, amandes effilées, crème fraîche dit), sirop glucose, poudre d'amande, beurre (lait) demi-sel, miel, fruits confi tarine de blé (gluten), écorces d'oranges 1 ,2%."
Dark Chocolate And Orange Florentins,"Sugary snacks,Biscuits and cakes",4,e,27,c,50.0,"45% noir à 70% de cacao minimum (masse de cacao, swe, beurre de émulsifiant : lécithine de sga, arôme vanille naturelle) swe, effilées, rème fraîche, Sirop de glucose poudre damarde, demi-sel, miel, fruits confits, farine de blé, éwces doranges 12%."
Ravioli 3 fromages,"Cereals and potatoes,Cereals",4,e,19,c,50.0,"1 AUX 3 r ROM Ingrédients semoule de blé dur, eau, brousse ( lait francals entier cru sel} ricotta 25% (lacto serum francaIS sel), Chèvre 5% (lait de chèvre pasteurtc sel fermi lactiques (contient lait) et fongiques, coagulant), Flocons de pomme de terre mono-et-di-glycérides d'acides gras (E 471 Stabilisant disphosphate de sodium (El Antioxydant palmipate diascorbyl (E304). Antioxydant acide citrique (E330)."
Miel d'Acacia Biologique,"Sugary snacks,Sweets",2,e,19,a-plus,92.0,100% miel biologique
Couscous surgelé boite,"Composite foods,One-dish meals",4,a,0,d,36.0,"2 sachets de garniture (650 g) : légumes 33% (carottes, navets, courgettes, poivrons rouges et verts, céleri, pois chiches cuits 1,5%), eau, pilon de poulet* cuit avec peau 16%, merguez cuite 10% (viande de bœuf*, eau, gras de bœuf, viande de mouton*, gras de mouton, sel, dextrose, épices, arômes naturels, colorant : extrait de paprika, antioxydant : E316, boyau de mouton), boulette à base de viande bovine cuite 6,1% (viande de bœuf*, blanc d'oeuf, chapelure (farine de blé, sel), oignon, sel, épices et aromates, huile de tournesol), arôme naturel, double concentré de tomates, épices et aromates (dont moutarde). (% exprimés sur les sachets de garniture) 2 sachets de semoule cuisinée (350 g) : eau, semoule de blé dur, huile de tournesol, arôme naturel (dont lactose), sel. 2 sachets d'épices et aromate : piment doux, poivre noir, carvi, ail, coriandre. Traces de sésame, de crustacés, de mollusques, de poissons, de fruits à coque et de soja. *Origine : UE."
Taboulé à la menthe douce,"Composite foods,One-dish meals",4,b,2,a,77.0,"1 boîte de garniture 550 g : tomates 60%, eau, oignons 9,5%, poivrons verts 2,7%, huile d'olive vierge extra 2,6%, menthe douce 1,8%, jus de citron concentré, sel, persil, arôme naturel de poivre (pourcentages exprimés sur la boîte de garniture) 1 boîte de semoule de _blé_ dur précuite 180 g"
"Moules Ronde Des Mers, 370ml A La Provençale","Fish‚ Meat‚ Eggs,Fish and seafood",4,a,-1,c,52.0,"03315 06{03 03-04-201' Moules (Mytilusedu/is pêchées en Atlan!ique Nord-Est) 48%, eau, légumes en proportion (Oignon, concombre, poivron, poireau), vinaigre,' sel, acidifiant : acide citrique, arômes. Traces de céleri, Certaines moules de ce bocal ont pu conserver en partie leur d'attache naturel (byssus). INFORMATION s"
Assortiment de macarons citron - cassis - framboise - abricot x 12,"Sugary snacks,Biscuits and cakes",4,d,18,d,31.0,"3 macarons à la framboise (3 x 10,8 g) : sucre glace, fourrage à la framboise 30% (sucre, brisures de framboise 8,3%, purée de framboise 8,3%, jus de citron, gélifiant : pectines), amandes 17%, blanc d'œuf pasteurisé, sucre, colorant : rouge de betterave, blanc d'œuf en poudre pasteurisé. 3 macarons au citron (3 x 10,8 g) : sucre glace, amandes 19%, purée de citron sucrée 11% (citron 10%, sucre), blanc d'œuf pasteurisé, sucre, sirop de glucose, beurre, gélifiant : pectines, zestes de citron semi confits 0,7% (sirop de glucose-fructose, zestes de citron 0,2%, eau, sucre, correcteur d'acidité : acide citrique, antioxydant : acide ascorbique), blanc d'œuf en poudre pasteurisé, colorant : curcumine. 3 macarons au cassis (3 x 10 g) : sucre glace, amandes 18%, blanc d'œuf pasteurisé, purée de cassis sucrée 12% (cassis 11%, sucre), sucre, eau, sirop de glucose, colorant : rouge de betterave, concentré de carotte pourpre, gélifiant : pectines, blanc d'œuf en poudre pasteurisé ; arôme naturel de violette avec autres arômes naturels. 3 macarons à l'abricot (3 x 8,4 g) : sucre glace, amandes 18%, purée d'abricot sucrée 12% (abricot 11%, sirop de sucre inverti), sucre, blanc d'œuf pasteurisé, eau, purée de citron sucrée (citron, sucre), sirop de glucose, gélifiant : pectines, blanc d'œuf en poudre pasteurisé, colorant : extrait de paprika, arôme naturel d'abricot. traces de gluten, de sésame et de soja. les pourcentages sont exprimés sur chaque macaron."
Couscous volaille et merguez,"Composite foods,One-dish meals",4,b,2,b,66.0,"1 boite de garniture 800g : eau, morceaux de cuisse de poulet non désossés* 25%, carottes 10%, courgettes 6,7%, navets 6,1%, merguez précuites 4,5% (viande et gras de bœuf*, viande et gras de mouton**, eau, épices, ail, sel, dextrose, sirop de glucose, arômes naturels), pois chiches réhydratés 4,3%, triple concentré de tomates, oignons 2,9%, poivrons rouges et verts 2,1%, sel, épices et plantes aromatiques (dont _céleri_), épaississants : gomme guar, farine de graines de caroubes, arômes (*Origine UE, **Origine UE et hors UE) 1 coupelle de semoule de _blé_ dur (_gluten_) précuite 180g 1 sachet d'assaisonnement : piment doux, poivre, carvi, ail, coriandre"
,"Cereals and potatoes,Bread",4,a,-2,a,80.0,"52% whole wheat flour, water, yeast, wheat gluten, durum wheat semolina, sugar, wheat fiber, salt, preservatives: e282, e200, wheat flour,"
Morceaux de filets de cabillaud,"Fish‚ Meat‚ Eggs,Fish and seafood,Lean fish",1,a,-6,f,-1.0,100% morceaux de filets de cabillaud. Traces de mollusques.
